# decode — 5 iterations


****** Process <0.171.0>  --  100.00% of total *** 
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
spectra_json:'-map_from_json/4-fun-1-'/2                         30          2      0.07  [ 0.25]
'Elixir.Enumerable.List':reduce/3                                40          2      0.05  [ 0.25]
'Elixir.Spectral.Codec.MapSet':'-decode_elements/4-fun-0-'/5     30          2      0.07  [ 0.25]
sp_error:type_mismatch/2                                         65          2      0.03  [ 0.25]
maps:to_list/1                                                   30          2      0.07  [ 0.25]
'Elixir.Calendar.ISO':parse_microsecond/3                        40          2      0.05  [ 0.25]
json:number_frac_cont/7                                          90          3      0.03  [ 0.38]
'Elixir.Spectral.Codec':decode/4                                 30          3      0.10  [ 0.38]
spectra_json:try_convert_to_literal/2                            85          3      0.04  [ 0.38]
spectra_json:'-list_from_json/5-fun-1-'/4                        55          3      0.05  [ 0.38]
json:array_push/7                                                85          4      0.05  [ 0.51]
spectra_json:union/5                                             65          4      0.06  [ 0.51]
spectra_json:'-map_from_json/4-fun-2-'/2                         65          4      0.06  [ 0.51]
spectra_util:map_until_error/3                                   70          4      0.06  [ 0.51]
sp_error:type_mismatch/3                                         65          4      0.06  [ 0.51]
lists:enumerate_1/3                                              70          4      0.06  [ 0.51]
sets:from_list/2                                                 25          5      0.20  [ 0.63]
spectra_json:'-map_field_type_from_json_list/5-fun-1-'/6         65          5      0.08  [ 0.63]
spectra_json:'-map_from_json/4-fun-0-'/1                        175          5      0.03  [ 0.63]
erlang:binary_to_integer/1                                       40          5      0.13  [ 0.63]
maps:from_keys/2                                                 25          5      0.20  [ 0.63]
lists:reverse/2                                                  55          5      0.09  [ 0.63]
json:object_key/6                                               195          6      0.03  [ 0.76]
lists:reverse/1                                                 110          6      0.05  [ 0.76]
lists:'-filter/2-lc$^0/1-0-'/2                                   80          6      0.08  [ 0.76]
json:number/7                                                   150          7      0.05  [ 0.88]
json:object_value/7                                             225          7      0.03  [ 0.88]
spectra_json:map_from_json/4                                     30          7      0.23  [ 0.88]
ets:lookup_element/4                                             15          7      0.47  [ 0.88]
spectra_util:fold_until_error/3                                 110          7      0.06  [ 0.88]
json:object_push/8                                              225          8      0.04  [ 1.01]
spectra_json:check_string_params/3                              220          8      0.04  [ 1.01]
spectra_json:do_first/6                                         130          8      0.06  [ 1.01]
erlang:binary_to_float/1                                         25          8      0.32  [ 1.01]
spectra_json:check_type_from_json/2                             295          9      0.03  [ 1.14]
spectra_json:check_type/2                                       295          9      0.03  [ 1.14]
spectra_module_types:get/2                                      285          9      0.03  [ 1.14]
spectra_util:apply_args/3                                       270          9      0.03  [ 1.14]
spectra_type_info:find_local_codec/1                            275          9      0.03  [ 1.14]
json:value/6                                                    315         11      0.03  [ 1.39]
spectra_util:fold_until_error/4                                 220         12      0.05  [ 1.52]
lists:partition_1/4                                             205         14      0.07  [ 1.77]
spectra_type:propagate_params/2                                 230         15      0.07  [ 1.90]
spectra_type:get_meta/1                                         485         16      0.03  [ 2.02]
spectra_json:map_literal_field_from_json/3                      160         17      0.11  [ 2.15]
json:continue/7                                                 540         18      0.03  [ 2.28]
spectra_module_types:persistent_cached_type_info/1              285         18      0.06  [ 2.28]
spectra_module_types:pers_type/1                                285         18      0.06  [ 2.28]
maps:from_list/1                                                 60         18      0.30  [ 2.28]
spectra_type_info:get_type/3                                    295         18      0.06  [ 2.28]
spectra_type_info:find_codec/3                                  295         23      0.08  [ 2.91]
spectra_type_info:get_module/1                                  590         24      0.04  [ 3.03]
re:run/3                                                         15         27      1.80  [ 3.41]
json:string_ascii/7                                             790         29      0.04  [ 3.67]
spectra_codec:try_codec_decode/7                                295         30      0.10  [ 3.79]
spectra_type:parameters/1                                       470         32      0.07  [ 4.05]
persistent_term:get/2                                           285         37      0.13  [ 4.68]
json:string/7                                                  1960         82      0.04  [10.37]
spectra_json:do_from_json/4                                     780         90      0.12  [11.38]
                                                                           791            [100.0]
