# encode — 5 iterations


****** Process <0.175.0>  --  100.00% of total *** 
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
sp_error:type_mismatch/3                                         65          7      0.11  [ 0.63]
spectra_json:do_first/6                                         130          9      0.07  [ 0.81]
ets:lookup_element/4                                             15          9      0.60  [ 0.81]
lists:'-filter/2-lc$^0/1-0-'/2                                   80          9      0.11  [ 0.81]
spectra_json:check_string_params/3                              220         10      0.05  [ 0.90]
spectra_json:'-map_typed_field_to_json_list/5-fun-1-'/6          65         10      0.15  [ 0.90]
spectra_type:union_missing_value/3                              145         10      0.07  [ 0.90]
spectra_json:map_fields_to_json/4                                30         11      0.37  [ 0.99]
spectra_json:check_type_to_json/2                               295         11      0.04  [ 0.99]
spectra_util:apply_args/3                                       270         11      0.04  [ 0.99]
spectra_type_info:find_local_codec/1                            275         11      0.04  [ 0.99]
spectra_json:check_type/2                                       295         12      0.04  [ 1.08]
spectra_util:fold_until_error/3                                 180         14      0.08  [ 1.26]
spectra_util:fold_until_error/4                                 220         17      0.08  [ 1.53]
maps:from_list/1                                                 30         17      0.57  [ 1.53]
spectra_type:propagate_params/2                                 230         18      0.08  [ 1.62]
spectra_type:get_meta/1                                         485         19      0.04  [ 1.71]
lists:partition_1/4                                             205         19      0.09  [ 1.71]
spectra_type:can_be_missing/2                                   345         20      0.06  [ 1.80]
spectra_module_types:persistent_cached_type_info/1              285         23      0.08  [ 2.07]
json:do_encode/2                                                540         24      0.04  [ 2.16]
spectra_json:map_literal_field_to_json/3                        160         24      0.15  [ 2.16]
spectra_json:'-map_fields_to_json/4-fun-0-'/1                   175         25      0.14  [ 2.25]
spectra_type_info:get_type/3                                    315         25      0.08  [ 2.25]
spectra_type_info:find_codec/3                                  295         25      0.08  [ 2.25]
sets:is_element/2                                                65         27      0.42  [ 2.43]
persistent_term:get/2                                           285         29      0.10  [ 2.61]
spectra_module_types:pers_type/1                                285         29      0.10  [ 2.61]
json:'-do_encode_map/2-lc$^0/1-0-'/2                            255         30      0.12  [ 2.70]
spectra_type_info:get_module/1                                  590         31      0.05  [ 2.79]
spectra_module_types:get/2                                      285         33      0.12  [ 2.97]
json:escape_binary_ascii/5                                      790         37      0.05  [ 3.33]
spectra_type:parameters/1                                       470         37      0.08  [ 3.33]
spectra_json:prim_type_to_json/2                                295         42      0.14  [ 3.78]
spectra_codec:try_codec_encode/7                                295         47      0.16  [ 4.23]
re:run/3                                                         15         57      3.80  [ 5.14]
json:escape_binary/5                                           1960         70      0.04  [ 6.31]
spectra_json:to_json/4                                          780         93      0.12  [ 8.38]
                                                                          1110            [100.0]
